Date,Close Last, Volume, Open, High, Low
3/26/2020,1660.3,134861,1642.2,1677.2,1612
3/25/2020,1634.3,104547,1665.5,1698,1609
3/24/2020,1660.2,442,1622.8,1685.5,1622.8
3/23/2020,1572.7,95848,1508.4,1574.8,1489.4
3/20/2020,1484,14,1483.5,1483.5,1483.5
3/19/2020,1479.3,306016,1487.2,1502.8,1460.1
3/18/2020,1477.9,412332,1527.6,1547,1473.3
3/17/2020,1524.9,122,1469.3,1537.7,1469.3
3/16/2020,1486.5,535860,1563.8,1574.8,1450.9
3/13/2020,1516.7,524471,1582.7,1597.9,1504
3/12/2020,1590.3,553457,1633.1,1651,1560.4
3/11/2020,1642.3,373462,1649.3,1671.8,1632.4
3/10/2020,1659.1,48,1671.6,1674.6,1643
3/9/2020,1675.7,467110,1692.6,1704.3,1658
3/6/2020,1672.4,619051,1673.1,1692.8,1642.4
3/5/2020,1666.4,154,1637.2,1672.9,1637.2
3/4/2020,1643,297251,1640.1,1654.3,1632.6
3/3/2020,1642.1,610,1594.5,1645.3,1594
3/2/2020,1592.3,537,1583.9,1608.3,1574.3
2/28/2020,1564.1,289,1640.3,1642.5,1564.8
